,loan_column1,id,user_id,loan_timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id,name,ssn,birthday,gender,city,zip_code,visit_column1,visit_id,visit_timestamp,referrer,campaign_name
12,222,74013266,78078336,1508715183,250000,Home purchase,ACCEPTED,7.0,0,Άλκηστις Παπανάνου,371-69-2776,1986-10-07,F,Ιωάννινα,ΤΚ 55082,0,0,0,,
13,232,32981943,14991753,1508750262,70000,Refinance existing loans,ACCEPTED,7.0,0,Βελισσαρία Μητσοπούλου,625-06-6786,1988-05-06,M,Σέρρες,ΤΚ 05675,0,0,0,,
14,250,17521143,87956665,1508168413,240000,home purchase,ACCEPTED,7.0,65045146,Μαριλένα Μιχελή,426-14-0045,1970-02-11,M,Τρίκαλα,631 44,155,65045146,1551064877,Twitter,display3
15,250,17521143,87956665,1508168413,240000,home purchase,ACCEPTED,7.0,65045146,Μαριλένα Μιχελή,426-14-0045,1970-02-11,M,Τρίκαλα,631 44,156,65045146,1562148141,Facebook,display2
16,250,17521143,87956665,1508168413,240000,home purchase,ACCEPTED,7.0,65045146,Μαριλένα Μιχελή,426-14-0045,1970-02-11,M,Τρίκαλα,631 44,157,65045146,1527216232,Google,display1
17,250,17521143,87956665,1508168413,240000,home purchase,ACCEPTED,7.0,65045146,Μαριλένα Μιχελή,426-14-0045,1970-02-11,M,Τρίκαλα,631 44,158,65045146,1534927581,Google,display1
18,250,17521143,87956665,1508168413,240000,home purchase,ACCEPTED,7.0,65045146,Μαριλένα Μιχελή,426-14-0045,1970-02-11,M,Τρίκαλα,631 44,159,65045146,1513227508,Google,display2
19,283,99597835,64596394,1508565730,190000,Refinance existing loans,REJECTED,8.7,33871022,Καλλίνικη Σκαφτούρου,553-31-3202,1995-03-16,M,Κοζάνη,ΤΚ 09350,0,0,0,,
20,297,91643622,60981988,1507463843,100000,Buying a pet,REJECTED,6.7,0,Αγνή Συρμού,695-92-7841,1976-05-05,M,Βόλος,ΤΚ 750 60,0,0,0,,
21,313,92937580,16251586,1507008414,170000,Home purchase,REJECTED,8.7,0,Αθηνά Γιαννακουδάκη,832-32-2906,1996-08-26,F,Καλαμάτα,ΤΚ 304 40,0,0,0,,
22,359,5066711,26085422,1508278683,80000,home purchase,REJECTED,7.0,0,Ξανθή Πρέκα,052-06-8369,1988-06-03,M,Κατερίνη,623 87,0,0,0,,
23,385,42491716,74590388,1508861243,30000,Buying a pet,REJECTED,7.0,0,Ανδρέας Τσότρας,465-22-4285,1978-04-23,F,Θεσσαλονίκη,ΤΚ 00165,0,0,0,,
24,408,8704094,93316544,1508939774,260000,Home purchase,ACCEPTED,6.7,0,Βικτωρία Τζιωρτζή,432-12-4188,1993-12-31,F,Χαλκίδα,ΤΚ 902 04,0,0,0,,
25,417,84731523,9709421,1507429960,240000,Buying a pet,ACCEPTED,6.7,0,Βαρσαμία Ζαχαριουδάκη,893-96-3645,1982-04-27,F,Χανιά,398 74,0,0,0,,
26,430,1351012,80854090,1509191044,20000,Home purchase,ACCEPTED,6.7,0,Λάμπρος Ράπτης,111-24-9135,1973-11-04,M,Λιβαδιά,ΤΚ 804 78,0,0,0,,
27,447,3754733,40173209,1508869563,280000,Refinance existing loans,REJECTED,8.7,13510410,Τρύφων Σπάλας,126-75-6850,1989-12-27,M,Τρίκαλα,29435,0,0,0,,
28,454,6993580,36480821,1509271912,90000,Refinance existing loans,REJECTED,7.0,74932331,Ζηνοβία Κολτσάκη,388-76-7551,1992-12-30,F,Ζάκυνθος,ΤΚ 46789,317,74932331,1530217921,Facebook,display1
29,454,6993580,36480821,1509271912,90000,Refinance existing loans,REJECTED,7.0,74932331,Ζηνοβία Κολτσάκη,388-76-7551,1992-12-30,F,Ζάκυνθος,ΤΚ 46789,318,74932331,1535384252,Twitter,display3
30,454,6993580,36480821,1509271912,90000,Refinance existing loans,REJECTED,7.0,74932331,Ζηνοβία Κολτσάκη,388-76-7551,1992-12-30,F,Ζάκυνθος,ΤΚ 46789,319,74932331,1514617421,Google,display2
31,454,6993580,36480821,1509271912,90000,Refinance existing loans,REJECTED,7.0,74932331,Ζηνοβία Κολτσάκη,388-76-7551,1992-12-30,F,Ζάκυνθος,ΤΚ 46789,320,74932331,1511799179,Twitter,display3
32,487,41785655,58998405,1508726102,150000,Home purchase,REJECTED,8.7,0,Θωμαίς Μαρκαντωνάκη,400-06-2318,1990-12-30,M,Αγ. Νικόλαος,33936,0,0,0,,
33,489,80942048,77800750,1507386386,300000,Refinance existing loans,ACCEPTED,14.0,0,Γαληνός Μυλωνάς,652-58-4966,1994-10-23,M,Άρτα,44282,0,0,0,,
34,530,77292893,48006280,1507707030,120000,Home purchase,REJECTED,6.7,0,Χριστιάν Δανελής,168-38-2265,1996-09-17,M,Λιβαδιά,50647,0,0,0,,
35,540,90947483,76095288,1507336708,100000,Buying a pet,ACCEPTED,14.0,0,Θεοδόσιος Μακρής,191-84-9481,1982-04-19,M,Πρέβεζα,54828,0,0,0,,
36,582,82487498,42939277,1507646127,280000,Refinance existing loans,REJECTED,14.0,74112627,Αγνή Καρβέλη,315-02-7841,1973-11-08,M,Δράμα,ΤΚ 189 81,0,0,0,,
37,612,32969987,19918588,1509313739,240000,Home purchase,ACCEPTED,7.0,0,Σωκράτης Ζυγούρης,811-37-7889,1991-01-19,M,Δράμα,191 39,0,0,0,,
38,634,65096817,8807233,1508572092,40000,Buying a pet,REJECTED,14.0,0,Βιολέτα-Μελένια Μαγούλα,120-50-7038,1986-01-04,M,Κόρινθος,20782,0,0,0,,
39,635,70821040,98740097,1508098766,90000,Refinance existing loans,ACCEPTED,8.7,0,Βαλέρια Ευαγγελίδη,355-93-7808,1980-11-02,F,Αγ. Νικόλαος,396 76,0,0,0,,
40,645,61375493,56060736,1507349746,210000,Refinance existing loans,ACCEPTED,14.0,0,Ιουλιανός Βαβουλίδης,185-97-9536,1981-06-18,F,Ρέθυμνο,ΤΚ 986 58,0,0,0,,
41,649,53527401,84560258,1508906424,80000,Refinance existing loans,ACCEPTED,14.0,0,Αυγουστίνα Κίτσου,805-19-8682,1975-06-13,F,Θεσσαλονίκη,05988,0,0,0,,
42,672,84660225,62091531,1507719554,20000,home purchase,ACCEPTED,6.7,36329904,Αγγελική Γεωργουλάκη,384-08-9336,1991-06-29,M,Μεσολόγγι,ΤΚ 486 37,430,36329904,1531556108,Google,display3
43,672,84660225,62091531,1507719554,20000,home purchase,ACCEPTED,6.7,36329904,Αγγελική Γεωργουλάκη,384-08-9336,1991-06-29,M,Μεσολόγγι,ΤΚ 486 37,431,36329904,1535940573,Facebook,display3
44,672,84660225,62091531,1507719554,20000,home purchase,ACCEPTED,6.7,36329904,Αγγελική Γεωργουλάκη,384-08-9336,1991-06-29,M,Μεσολόγγι,ΤΚ 486 37,432,36329904,1524820817,Twitter,display3
45,672,84660225,62091531,1507719554,20000,home purchase,ACCEPTED,6.7,36329904,Αγγελική Γεωργουλάκη,384-08-9336,1991-06-29,M,Μεσολόγγι,ΤΚ 486 37,433,36329904,1537420906,Google,display3
46,672,84660225,62091531,1507719554,20000,home purchase,ACCEPTED,6.7,36329904,Αγγελική Γεωργουλάκη,384-08-9336,1991-06-29,M,Μεσολόγγι,ΤΚ 486 37,434,36329904,1507542879,Facebook,display1
47,683,40201591,20498838,1509238079,250000,Buying a pet,REJECTED,7.0,0,Μελπομένη Σαμπάνη,753-56-8247,1992-09-03,F,Κιλκίς,ΤΚ 22444,0,0,0,,
48,687,69699967,88035046,1507219115,270000,Refinance existing loans,REJECTED,14.0,69707929,Βενετία Τσανάκα,770-26-6952,1972-03-17,M,Καλαμάτα,28423,441,69707929,1564286038,Google,display2
49,688,86567486,14703988,1508663762,230000,Home purchase,REJECTED,14.0,0,Νέαρχος Λιούτας,949-73-4757,1983-11-18,F,Πύργος,ΤΚ 375 63,0,0,0,,
50,726,44373244,22299143,1508048169,210000,Buying a pet,ACCEPTED,7.0,0,Ρουμπίνη Ταφραλή,808-21-3940,1972-12-30,F,Θεσσαλονίκη,ΤΚ 039 68,0,0,0,,
51,771,61946047,7506535,1507749936,250000,Buying a pet,ACCEPTED,14.0,91841637,Κορνηλία Γρίβα,600-09-0082,1992-08-04,M,Ρέθυμνο,818 59,0,0,0,,
52,779,95591260,2689294,1508642477,240000,Refinance existing loans,REJECTED,14.0,0,Ελισάβετ Νταγκαλή,119-11-5791,1994-11-07,F,Σάμος,ΤΚ 201 32,0,0,0,,
53,781,4993325,71032096,1507767858,270000,buying a pet,REJECTED,7.0,0,Προκόπιος-Πλάτων Τζανουδάκης,013-08-6813,1972-01-05,F,Θεσσαλονίκη,32517,0,0,0,,
54,788,64498676,9740429,1509358609,150000,Home purchase,ACCEPTED,14.0,0,Γεωργία Κορωνίδου,973-12-9543,1985-04-04,M,Σάμος,770 16,0,0,0,,
55,790,58964299,39090582,1507348008,190000,Refinance existing loans,ACCEPTED,8.7,13952841,Βαλεντίνα-Μαλαματένια Σιδηροπούλου,867-63-1864,1978-08-27,F,Κιλκίς,ΤΚ 478 37,500,13952841,1546919948,Google,display3
56,790,58964299,39090582,1507348008,190000,Refinance existing loans,ACCEPTED,8.7,13952841,Βαλεντίνα-Μαλαματένια Σιδηροπούλου,867-63-1864,1978-08-27,F,Κιλκίς,ΤΚ 478 37,501,13952841,1529274608,Twitter,display3
57,799,14392159,59044970,1506978958,260000,Refinance existing loans,ACCEPTED,14.0,0,Ίων Σμπρίνης,092-53-5330,1991-06-14,M,Τρίπολη,457 03,0,0,0,,
58,844,24429023,82084585,1507303894,30000,Home purchase,ACCEPTED,8.7,88106642,Ανατολή-Κλημεντίνη Τζάγκα,270-54-1478,1991-11-13,M,Μεσολόγγι,65353,0,0,0,,
59,862,2292960,47368074,1506933299,290000,Buying a pet,ACCEPTED,8.7,89663670,Βαλεντίνα Διαμαντοπούλου,275-52-1652,1986-04-30,M,Φλώρινα,ΤΚ 56816,563,89663670,1529360887,Twitter,display2
60,862,2292960,47368074,1506933299,290000,Buying a pet,ACCEPTED,8.7,89663670,Βαλεντίνα Διαμαντοπούλου,275-52-1652,1986-04-30,M,Φλώρινα,ΤΚ 56816,564,89663670,1538040741,Facebook,display2
61,862,2292960,47368074,1506933299,290000,Buying a pet,ACCEPTED,8.7,89663670,Βαλεντίνα Διαμαντοπούλου,275-52-1652,1986-04-30,M,Φλώρινα,ΤΚ 56816,565,89663670,1522036769,Facebook,display2
62,862,2292960,47368074,1506933299,290000,Buying a pet,ACCEPTED,8.7,89663670,Βαλεντίνα Διαμαντοπούλου,275-52-1652,1986-04-30,M,Φλώρινα,ΤΚ 56816,566,89663670,1537323101,Twitter,display3
63,862,2292960,47368074,1506933299,290000,Buying a pet,ACCEPTED,8.7,89663670,Βαλεντίνα Διαμαντοπούλου,275-52-1652,1986-04-30,M,Φλώρινα,ΤΚ 56816,567,89663670,1510064808,Facebook,display1
64,870,15883368,92660315,1507177384,30000,Refinance existing loans,ACCEPTED,14.0,0,Πολυξένη Φωτιάδου,851-09-4037,1978-08-22,F,Κιλκίς,69162,0,0,0,,
65,883,21085210,10480288,1508848268,270000,Home purchase,ACCEPTED,14.0,0,Μαριγώ Στρατογιάννη,934-78-5940,1982-02-21,M,Κέρκυρα,48832,0,0,0,,
66,895,8852031,64752228,1508092731,210000,Buying a pet,REJECTED,6.7,53462535,Φιλιώ Κυρούδη,180-64-5149,1982-04-26,M,Καβάλα,77167,599,53462535,1520126144,Google,display2
67,895,8852031,64752228,1508092731,210000,Buying a pet,REJECTED,6.7,53462535,Φιλιώ Κυρούδη,180-64-5149,1982-04-26,M,Καβάλα,77167,600,53462535,1528148208,Twitter,display1
68,895,8852031,64752228,1508092731,210000,Buying a pet,REJECTED,6.7,53462535,Φιλιώ Κυρούδη,180-64-5149,1982-04-26,M,Καβάλα,77167,601,53462535,1516007727,Twitter,display1
69,895,8852031,64752228,1508092731,210000,Buying a pet,REJECTED,6.7,53462535,Φιλιώ Κυρούδη,180-64-5149,1982-04-26,M,Καβάλα,77167,602,53462535,1552651841,Twitter,display1
70,895,8852031,64752228,1508092731,210000,Buying a pet,REJECTED,6.7,53462535,Φιλιώ Κυρούδη,180-64-5149,1982-04-26,M,Καβάλα,77167,603,53462535,1511235381,Facebook,display1
71,906,27503413,87940092,1508879517,100000,Home purchase,ACCEPTED,14.0,0,Πούλια Κονιάρη,676-72-1415,1990-01-12,F,Μεσολόγγι,ΤΚ 391 43,0,0,0,,
72,957,65176054,94840715,1508226483,290000,Buying a pet,ACCEPTED,14.0,0,Βησσαρία Βαφειάδου,475-79-1893,1983-04-22,M,Μυτιλήνη,ΤΚ 33693,0,0,0,,
73,959,58280618,83621513,1508901318,270000,Home purchase,ACCEPTED,14.0,94792045,Παράσχος-Σπυρίδων Ζορμπάς,863-39-5093,1970-12-12,F,Ηράκλειο,ΤΚ 21371,683,94792045,1520062111,Twitter,display1
74,991,84733525,51740457,1507021057,170000,Home purchase,ACCEPTED,8.7,28821926,Ελένη Μάρα,848-51-6601,1989-06-24,M,Τρίκαλα,ΤΚ 347 90,0,0,0,,
75,1009,87094423,73677005,1508309979,290000,Buying a pet,ACCEPTED,7.0,0,Ανθούλα Πισκοπάνη,527-21-8641,1981-12-04,F,Μεσολόγγι,130 02,0,0,0,,
76,1026,41101584,36255672,1507024845,30000,home purchase,ACCEPTED,14.0,0,Πραξιτέλης Κυρίτσης,124-11-5168,1985-01-31,M,Ζάκυνθος,08792,0,0,0,,
77,1061,93026145,14170950,1509272193,100000,Home purchase,REJECTED,14.0,0,Ευλαμπία Καράμπη,336-75-5069,1992-10-04,M,Λαμία,ΤΚ 378 87,0,0,0,,
78,1262,14822696,119897,1507098828,170000,Refinance existing loans,ACCEPTED,6.7,68350579,Θεοπίστη Σαμπάνη,807-14-1528,1972-03-31,M,Σέρρες,60024,944,68350579,1558307972,Twitter,display2
79,1262,14822696,119897,1507098828,170000,Refinance existing loans,ACCEPTED,6.7,68350579,Θεοπίστη Σαμπάνη,807-14-1528,1972-03-31,M,Σέρρες,60024,945,68350579,1535354397,Twitter,display2
80,1262,14822696,119897,1507098828,170000,Refinance existing loans,ACCEPTED,6.7,68350579,Θεοπίστη Σαμπάνη,807-14-1528,1972-03-31,M,Σέρρες,60024,946,68350579,1524426885,Twitter,display1
81,1278,90148613,27628323,1507120160,100000,Refinance existing loans,REJECTED,6.7,0,Ήλια Μπαλαμπάνη,547-74-8268,1995-10-09,M,Ρόδος,61623,0,0,0,,
82,1284,75643282,74384224,1507627716,300000,Refinance existing loans,REJECTED,6.7,0,Αφροδίτη Χωρινού,070-73-8551,1989-01-10,F,Κόρινθος,ΤΚ 427 66,0,0,0,,
83,1292,50655737,21092096,1508383213,190000,Home purchase,REJECTED,7.0,0,Αγάπη Δανδανίδου,789-47-5944,1971-10-28,F,Καστοριά,82361,0,0,0,,
84,1319,62936699,92438520,1507247059,180000,Buying a pet,REJECTED,6.7,0,Θεμιστόκλεια Τσέτου,960-54-1147,1996-06-18,F,Άμφισσα,ΤΚ 689 18,0,0,0,,
85,1320,66946031,92438520,1508755363,90000,Buying a pet,REJECTED,8.7,0,Θεμιστόκλεια Τσέτου,960-54-1147,1996-06-18,F,Άμφισσα,ΤΚ 689 18,0,0,0,,
86,1365,36718472,65803361,1507488646,250000,Buying a pet,REJECTED,8.7,0,Σαββούλα Δαμήλου,741-28-2125,1990-09-24,M,Πρέβεζα,608 87,0,0,0,,
87,1374,93560247,20294760,1508384913,270000,Refinance existing loans,ACCEPTED,14.0,0,Χρυσοβαλάντιος Μπαλταγιάννης,777-19-5042,1976-09-30,F,Αγ. Νικόλαος,ΤΚ 17912,0,0,0,,
88,1385,55715923,28244217,1509033743,100000,Home purchase,REJECTED,6.7,0,Θεοδότη Καλογιάννη,905-37-4162,1972-04-07,F,Τρίπολη,ΤΚ 83362,0,0,0,,
89,1400,88490563,79060187,1508999947,220000,buying a pet,REJECTED,6.7,86926078,Λουδοβίκος Καψάλης,603-33-6393,1988-09-05,F,Άμφισσα,04326,1057,86926078,1538942503,Twitter,display2
90,1401,775964,79060187,1506927148,40000,Home purchase,REJECTED,14.0,97358485,Λουδοβίκος Καψάλης,603-33-6393,1988-09-05,F,Άμφισσα,04326,1058,97358485,1560143358,Twitter,display1
91,1401,775964,79060187,1506927148,40000,Home purchase,REJECTED,14.0,97358485,Λουδοβίκος Καψάλης,603-33-6393,1988-09-05,F,Άμφισσα,04326,1059,97358485,1546055514,Twitter,display2
92,1452,40283474,32165240,1507697469,170000,Buying a pet,REJECTED,8.7,0,Σπυριδούλα-Χαρίκλεια Αθανασιάδη,668-55-2814,1981-01-24,F,Σέρρες,644 27,0,0,0,,
93,1465,67451397,11206948,1507529163,150000,buying a pet,REJECTED,14.0,0,Ευσταθία Μηνά,096-35-5418,1985-01-15,F,Ιωάννινα,316 80,0,0,0,,
94,1531,37271872,36814672,1507799589,220000,Refinance existing loans,ACCEPTED,14.0,0,Ηλίας Νασιόπουλος,701-57-1387,1995-11-01,M,Ρόδος,ΤΚ 242 89,0,0,0,,
95,1576,33287516,38344371,1508154280,100000,Home purchase,ACCEPTED,6.7,0,Βησσαρία Δήμου,016-53-3768,1981-12-28,F,Πάτρα,143 58,0,0,0,,
96,1605,85706996,67916545,1508295163,260000,home purchase,ACCEPTED,14.0,0,Χριστιάν Πανούσης,519-18-4196,1996-04-07,F,Καρπενήσι,570 25,0,0,0,,
97,1674,75686882,91826275,1508295833,270000,Buying a pet,REJECTED,6.7,0,Μαριγώ-Βρυσηίς Καλαϊτζοπούλου,454-51-4776,1970-01-11,F,Λευκάδα,62189,0,0,0,,
98,1693,11070953,20940584,1509126723,250000,Buying a pet,ACCEPTED,6.7,93427165,Μεθόδιος Καζανόπουλος,300-99-1451,1986-09-11,M,Μεσολόγγι,730 75,1244,93427165,1562639722,Facebook,display1
99,1693,11070953,20940584,1509126723,250000,Buying a pet,ACCEPTED,6.7,93427165,Μεθόδιος Καζανόπουλος,300-99-1451,1986-09-11,M,Μεσολόγγι,730 75,1245,93427165,1515112131,Google,display1
100,1693,11070953,20940584,1509126723,250000,Buying a pet,ACCEPTED,6.7,93427165,Μεθόδιος Καζανόπουλος,300-99-1451,1986-09-11,M,Μεσολόγγι,730 75,1246,93427165,1510457826,Facebook,display3
101,1693,11070953,20940584,1509126723,250000,Buying a pet,ACCEPTED,6.7,93427165,Μεθόδιος Καζανόπουλος,300-99-1451,1986-09-11,M,Μεσολόγγι,730 75,1247,93427165,1534800478,Facebook,display2
102,1694,62013427,72704026,1507955584,70000,Buying a pet,ACCEPTED,6.7,0,Ιερεμίας-Παναγιώτης Κορδατζής,818-52-5421,1971-04-11,F,Τρίπολη,07250,0,0,0,,
103,1769,51242726,98265518,1508685741,90000,Buying a pet,REJECTED,6.7,0,Ιωακείμ Αντωνιάδης,218-93-2286,1978-10-16,M,Θεσσαλονίκη,ΤΚ 056 73,0,0,0,,
104,1788,10938463,34192337,1509227826,50000,Buying a pet,ACCEPTED,6.7,0,Σώζων-Σταμάτιος Καρακυρίου,378-70-0619,1994-08-18,F,Βόλος,817 71,0,0,0,,
105,1802,59981198,20143328,1507854339,80000,Refinance existing loans,ACCEPTED,14.0,68955779,Θαλής Χατζηβλασίου,956-89-5187,1985-09-25,F,Κοζάνη,ΤΚ 53704,1329,68955779,1530135184,Facebook,display3
106,1802,59981198,20143328,1507854339,80000,Refinance existing loans,ACCEPTED,14.0,68955779,Θαλής Χατζηβλασίου,956-89-5187,1985-09-25,F,Κοζάνη,ΤΚ 53704,1330,68955779,1554961850,Twitter,display3
107,1802,59981198,20143328,1507854339,80000,Refinance existing loans,ACCEPTED,14.0,68955779,Θαλής Χατζηβλασίου,956-89-5187,1985-09-25,F,Κοζάνη,ΤΚ 53704,1331,68955779,1508226082,Google,display1
108,1813,64383006,4906718,1507660655,200000,Buying a pet,REJECTED,8.7,0,Θεόδωρος Μπαλταγιάννης,623-29-3528,1978-11-26,F,Κιλκίς,039 33,0,0,0,,
109,1834,91555544,12928733,1508949199,170000,Buying a pet,REJECTED,6.7,46286679,Νεφέλη Γκαλίου,782-17-0438,1970-11-02,M,Μυτιλήνη,44773,1341,46286679,1568028584,Facebook,display3
110,1834,91555544,12928733,1508949199,170000,Buying a pet,REJECTED,6.7,46286679,Νεφέλη Γκαλίου,782-17-0438,1970-11-02,M,Μυτιλήνη,44773,1342,46286679,1526539303,Facebook,display3
111,1834,91555544,12928733,1508949199,170000,Buying a pet,REJECTED,6.7,46286679,Νεφέλη Γκαλίου,782-17-0438,1970-11-02,M,Μυτιλήνη,44773,1343,46286679,1560274553,Twitter,display1
112,1844,27119577,41650158,1509034492,60000,Buying a pet,REJECTED,7.0,0,Μαριάννα Παλαιολογοπούλου,108-76-6249,1971-06-29,F,Φλώρινα,367 88,0,0,0,,
113,1874,15149667,2153732,1506964634,300000,Refinance existing loans,ACCEPTED,8.7,0,Παρθένα Τάτση,344-75-9806,1980-06-08,F,Ξάνθη,362 20,0,0,0,,
114,1931,41340421,49655580,1508997312,290000,Refinance existing loans,ACCEPTED,14.0,0,Βέρα Μητσοπούλου,742-87-9807,1972-04-10,F,Ζάκυνθος,72894,0,0,0,,
115,1932,54393836,1267407,1508627556,70000,Refinance existing loans,ACCEPTED,14.0,0,Αικατερίνη Κοντογιάννη,113-16-5643,1994-09-17,M,Χανιά,ΤΚ 54823,0,0,0,,
116,1950,1570990,11120426,1507581538,300000,Home purchase,REJECTED,7.0,0,Ζαμπέτα Πουλίδα,977-96-1906,1972-06-03,M,Καρδίτσα,ΤΚ 159 39,0,0,0,,
117,1960,32535286,71753602,1509376340,150000,Home purchase,REJECTED,6.7,81708413,Αφροδίτη-Ναυσικά Χαραλαμπίδου,540-80-0591,1979-03-28,M,Καστοριά,ΤΚ 67120,1447,81708413,1567081833,Facebook,display2
118,1960,32535286,71753602,1509376340,150000,Home purchase,REJECTED,6.7,81708413,Αφροδίτη-Ναυσικά Χαραλαμπίδου,540-80-0591,1979-03-28,M,Καστοριά,ΤΚ 67120,1448,81708413,1513195044,Facebook,display1
119,1960,32535286,71753602,1509376340,150000,Home purchase,REJECTED,6.7,81708413,Αφροδίτη-Ναυσικά Χαραλαμπίδου,540-80-0591,1979-03-28,M,Καστοριά,ΤΚ 67120,1449,81708413,1540717492,Google,display2
120,1960,32535286,71753602,1509376340,150000,Home purchase,REJECTED,6.7,81708413,Αφροδίτη-Ναυσικά Χαραλαμπίδου,540-80-0591,1979-03-28,M,Καστοριά,ΤΚ 67120,1450,81708413,1547077085,Facebook,display3
121,1960,32535286,71753602,1509376340,150000,Home purchase,REJECTED,6.7,81708413,Αφροδίτη-Ναυσικά Χαραλαμπίδου,540-80-0591,1979-03-28,M,Καστοριά,ΤΚ 67120,1451,81708413,1564967892,Twitter,display2
122,1965,64584817,73228968,1508207529,260000,Refinance existing loans,ACCEPTED,8.7,86041122,Λασκαρίνα Πουλή,527-22-4865,1991-08-30,F,Δράμα,62547,1452,86041122,1514077463,Facebook,display2
123,1965,64584817,73228968,1508207529,260000,Refinance existing loans,ACCEPTED,8.7,86041122,Λασκαρίνα Πουλή,527-22-4865,1991-08-30,F,Δράμα,62547,1453,86041122,1541857857,Facebook,display1
124,1965,64584817,73228968,1508207529,260000,Refinance existing loans,ACCEPTED,8.7,86041122,Λασκαρίνα Πουλή,527-22-4865,1991-08-30,F,Δράμα,62547,1454,86041122,1524748460,Google,display2
125,1965,64584817,73228968,1508207529,260000,Refinance existing loans,ACCEPTED,8.7,86041122,Λασκαρίνα Πουλή,527-22-4865,1991-08-30,F,Δράμα,62547,1455,86041122,1519461549,Facebook,display1
126,1965,64584817,73228968,1508207529,260000,Refinance existing loans,ACCEPTED,8.7,86041122,Λασκαρίνα Πουλή,527-22-4865,1991-08-30,F,Δράμα,62547,1456,86041122,1535858660,Twitter,display2
127,1969,71421755,99217814,1509288537,150000,Home purchase,REJECTED,14.0,78065381,Σωτήρης Λουλάκης,903-05-6629,1985-08-10,M,Πολύγυρος,33853,1462,78065381,1558517469,Facebook,display3
128,1988,81209097,25791065,1507133289,170000,home purchase,REJECTED,7.0,0,Λητώ Παπανικολάου,772-49-7477,1972-12-11,F,Έδεσσα,19059,0,0,0,,
129,1993,52330356,37430511,1509183019,280000,buying a pet,ACCEPTED,6.7,0,Λεμονής-Νεκτάριος Γιασημάκης,862-04-5585,1992-09-04,M,Καβάλα,86655,0,0,0,,
130,2012,48655013,36163925,1508250499,250000,Buying a pet,ACCEPTED,7.0,0,Κλεάνθης Ντόβας,474-05-0921,1984-06-23,F,Τρίπολη,585 54,0,0,0,,
131,2023,21083999,86757731,1509088946,230000,Home purchase,REJECTED,8.7,0,Φανή Κετεσίδου,399-80-2528,1978-11-08,F,Πολύγυρος,51944,0,0,0,,
132,2057,91781313,21885154,1508051002,30000,Buying a pet,ACCEPTED,6.7,0,Θεόπιστος Κωστίδης,953-44-1133,1982-12-20,F,Αλεξανδρούπολη,ΤΚ 28922,0,0,0,,
133,2065,35493517,69200111,1507374346,190000,Buying a pet,ACCEPTED,7.0,0,Θεόφραστος Καλαμπαλίκης,011-58-5026,1994-12-12,M,Κιλκίς,48147,0,0,0,,
